id,title,timePeriods,size,score,type
39303,A(u)xoume,RLM,2,1,circle
39305,Aualites Sinus,RM,3,1,circle
39308,Azanium Mare/Barbarikon Pelagos,RM,5,1,circle
39315,Bracheia/Prasodes Thalassa,R,3,1,circle
39318,Camarum (island),RLM,2,1,circle
39330,Chelonitis (island),HRM,2,1,circle
39335,Deire,RM,2,1,circle
393362,Ad Idicem,RL,2,1,circle
393368,Ad Rubiconem,RL,3,1,circle
39337,Devade Islands,RM,3,1,circle
393370,Ad Silarum,RL,2,1,circle
393371,Ad Sinnium,RL,2,1,circle
393372,Aemilia,RL,2,1,circle
393374,Altinum,CHRL,2,1,circle
393378,Aprusa (river),RM,2,1,circle
393379,Ariminum,CHRL,7,1,circle
39338,Diosko(u)rides (island),RM,2,1,circle
393380,Ariminus (river),M,2,1,circle
393381,Astagus (river),M,2,1,circle
393383,At(h)esis (river),RLM,4,1,circle
393385,Atrianorum Paludes,CHRL,3,1,circle
393387,Auraei,ACHRL,2,1,circle
393389,Bedesis (river),RM,2,1,circle
393390,Boi(i),CHR,3,1,circle
393396,Cadianum,RL,2,1,circle
393397,Caesena,CHRL,2,1,circle
393400,Castello del Tartaro,A,2,1,circle
393404,Classis,RRLM,6,1,circle
393405,Claterna,RL,2,1,circle
393408,Compitum ad Confluentes,RL,2,1,circle
393420,Faventia,RL,2,1,circle
393421,Felsina/Bononia,ACHRLM,6,1,circle
393424,Forum Cornelii,RLM,3,1,circle
393425,Forum Gallorum,RL,2,1,circle
393426,Forum Livii,RLM,2,1,circle
393427,Forum Popilii,RLM,4,1,circle
393434,*Hadriani,ACRL,3,1,circle
393436,(H)Atria,ACHRL,3,1,circle
393438,Hostilia,RL,2,1,circle
393441,Iulia Concordia,ACHRL,3,1,circle
393446,Liquentia (river),M,2,1,circle
39345,Exusta/Katakekaumene Inss.,RM,2,1,circle
393450,Meduacus Maior (river),M,2,1,circle
393459,Opitergium,ACHRLM,5,1,circle
393467,Ostium Volane,YUNK,2,1,circle
393469,Padus/Eridanus (river),HRLMT,29,1,circle
393470,Padusa,R,5,1,circle
393473,Patavium,ACHRLM,2,1,circle
393475,Plavis (river),LM,3,1,circle
393480,Ravenna,CHRL,12,1,circle
393482,Retron (river),M,2,1,circle
393483,Rhenus (river),RM,4,1,circle
393484,Rubico (river),RM,2,1,circle
39349,Hippalon Pelagos,R,2,1,circle
393490,Sapis (river),RM,4,1,circle
393492,Scultenna (river),RM,2,1,circle
393493,Septem Maria (Station),RL,2,1,circle
393494,Septem Maria (Po River Delta),RL,8,1,circle
393495,Silarus (river),M,2,1,circle
393496,Silis (river),M,2,1,circle
393498,Spina,ACHR,4,1,circle
39350,Homeritai,RL,3,1,circle
393503,Tarvisium,HRLM,2,1,circle
393510,Vatrenus (river),RM,2,1,circle
393513,Vicetia,ACHRLM,4,1,circle
393516,Vicus Varianus,RL,2,1,circle
393517,Vitis? (river),RM,3,1,circle
39352,Indicum Mare,RM,15,1,circle
39361,Kinnamomophoros Chora,R,2,1,circle
39362,Kokkonatou (islands),R,3,1,circle
39376,Malichou islands,RM,2,1,circle
39379,Mari(a)ba,CHR,2,1,circle
39399,Notou Keras/Aromata Pr.,RM,2,1,circle
39404,Oreine (island),RM,2,1,circle
39409,Ptolemais Theron,R,2,1,circle
39410,Pyraloi (islands),RM,2,1,circle
394113,Unnamed aqueduct at Vicetia,RL,2,1,circle
394116,Ravenna Aqueduct,RL,3,1,circle
39423,Sap(p)har,RLM,2,1,circle
