source,target,type
560353,589892,type1
560353,599919,type1
560353,599673,type1
560353,599974,type1
560353,589958,type1
560353,599708,type1
560353,599715,type1
560353,218806479,type1
560353,590002,type1
560353,590012,type1
560353,212270979,type1
560353,590047,type1
560353,599808,type1
560353,590067,type1
560353,599822,type1
560353,590074,type1
560353,599868,type2
560353,570348,type2
560353,589693,type2
560353,599642,type2
560353,808255902,type2
560670,560230,type2
570028,570577,type2
570028,570700,type2
570028,570040,type2
570028,570576,type2
570028,570415,type1
570033,570348,type1
570035,570475,type1
570036,570475,type1
570038,570475,type2
570040,570028,type2
570043,104777482,type2
570049,104777482,type2
570059,570182,type2
570065,218039420,type2
570067,570577,type2
570067,1046,type2
570074,73644851,type2
570074,172198383,type2
570081,570475,type2
570096,570577,type2
570098,570104,type2
570098,570532,type2
570101,570577,type1
570102,570530,type1
570102,570535,type1
