id,title,size,linkType
570081,Angathia,2,type1
570096,"Apollo Korythos, T.",2,type1
570098,Arachnaion (mountain),3,type1
570101,Araxos,2,type1
570102,Arcadia,11,type2
570103,Argolicus Sinus,5,type1
570104,Argolis,15,type2
570106,Argos,3,type1
570112,Aroania (mountain),2,type1
570122,Asea,3,type1
570123,Asinaeus/Coronaeus Sinus,4,type1
570127,Sanctuary of Asklepios at Epidauros,4,type1
570132,Aspis (island),2,type1
570148,Bassai,3,type1
570150,Belbina (island),2,type1
570157,Bolinaios (river),2,type1
570175,Chelonatas Sinus,2,type1
570180,Corinthia,2,type1
570181,Corinthiacus Sinus,6,type1
570182,Corinthus/Korinthos,9,type1
570184,Cyllenius Sinus,2,type1
570185,Cyparissius Sinus,3,type1
570186,Cythera (island),4,type1
570197,Dine,2,type1
570198,Diolkos,2,type1
570202,Dorion,3,type1
570205,Dyme,2,type1
570224,Emborio,2,type1
570227,Ephyra? (island),2,type1
570228,Epidauros,4,type1
570229,Epidauros Limera,2,type1
570231,Epitalion,2,type1
570248,Eurotas (river),3,type1
570255,Gatheai,2,type1
570256,Gatheatas? (river),2,type1
570258,Geraistos,2,type1
570259,Geraistos Pr.,2,type1
570262,Geronteon (mountain),2,type1
570274,Halieis,3,type1
570289,Heraion (Argolis),2,type1
570293,Hierakia (island),2,type1
570299,Hydroussa/Hydrea (island),2,type1
570310,Ichthys Pr.,2,type1
570314,Ioulis,2,type1
570315,Ipnoi? M.,2,type1
570316,Isthmia,4,type1
570317,Isthmos,3,type1
570318,Ithome M.,3,type1
570325,Kalaureia (island),2,type1
348371058,Polonnaruwa,2,type1
449007780,House of the surgeon,2,type1
629225363,Aphrodite sanctuary at Lokroi Epizephyrioi,2,type1
204528069,Centocamere at Lokroi Epizephyrioi,2,type1
378979377,Cistern,2,type1
328100889,Tomb of Caius Cartilius Poplicola,2,type1
694364581,Catacombs of Trypiti,2,type1
990568323,Roman theater at Tlos,1,type1
894727084,Vicus Censorius,3,type1
502577470,Temple E at Selinus,2,type1
502577471,"Temple of Demeter at the Sanctuary of Demeter Malophoros, Selinus",2,type1
502577472,"Roman amphitheater at Guildhall, London",2,type1
569006287,Roman amphitheater at Paestum,2,type1
689046103,Roiate,2,type1
195092807,Pyramid of Cestius,2,type1
226302607,Sep. Eurysacis,3,type1
748146994,Coastal Tower 16b (Old Mawbray),1,type1
288445158,Nazzano Romano,2,type1
750203268,Erechtheion,3,type1
354239692,Basilica and convent of S. Ippolito,2,type1
354239693,So-called Caesareum of Cyrene,2,type1
421330490,Temenos of Athena,2,type1
963047542,Ramesseum,2,type1
90720956,Eshnunna,2,type1
582993625,Tuttul,2,type1
662332233,Aqua Augusta (Naples),9,type1
662332234,Hellenistic-Roman theater at Sarno,2,type1
24736652,Poggio del Molino,2,type1
237645058,Dún Ailinne,2,type1
947227732,Qasr al-Abd at Tyrus,2,type1
303354808,Upper Chambers at Kalhu,3,type1
584375361,Sceilg Mhichíl,2,type1
729310593,"Villamassargia, Nuraghe di Santu Pauli",2,type1
729310594,Su Carroppu,2,type1
769742546,Vicus sandalarius,2,type1
151473899,Necropolis of Ponte Messato,2,type1
229670928,Via Ciminia,4,type1
673471798,Compitum Acilii,3,type1
713767971,Mahabodhi Temple,2,type1
210745099,Stadium of Delos,2,type1
762647722,Anmurru,7,type1
319432673,Kammanu/Meliddu (kingdom),17,type2
